LB0,4 ; 00011_00_00    // Correct op1:0    //Correct op2:4 at line number2
LB0,5 ; 00011_00_01    // Correct op1:0    //Correct op2:5 at line number5
SLR1,4 ; 01100_01_00    // Correct op1:1    //Correct op2:4 at line number8
SLL1,4 ; 01011_01_00    // Correct op1:1    //Correct op2:4 at line number10
SLL2,5 ; 01011_10_01    // Correct op1:2    //Correct op2:5 at line number12
XOR1,6 ; 01000_01_10    // Correct op1:1    //Correct op2:6 at line number14
RXOR2,6 ; 01111_10_10    // Correct op1:2    //Correct op2:6 at line number16
XOR1,6 ; 01000_01_10    // Correct op1:1    //Correct op2:6 at line number18
SLR1,5 ; 01100_01_01    // Correct op1:1    //Correct op2:5 at line number20
SLL1,5 ; 01011_01_01    // Correct op1:1    //Correct op2:5 at line number21
LB0,4 ; 00011_00_00    // Correct op1:0    //Correct op2:4 at line number23
LB0,4 ; 00011_00_00    // Correct op1:0    //Correct op2:4 at line number25
SLR2,4 ; 01100_10_00    // Correct op1:2    //Correct op2:4 at line number28
SLL2,4 ; 01011_10_00    // Correct op1:2    //Correct op2:4 at line number30
XOR1,6 ; 01000_01_10    // Correct op1:1    //Correct op2:6 at line number32
SLL3,4 ; 01011_11_00    // Correct op1:3    //Correct op2:4 at line number33
SLR3,5 ; 01100_11_01    // Correct op1:3    //Correct op2:5 at line number34
XOR1,6 ; 01000_01_10    // Correct op1:1    //Correct op2:6 at line number36
RXOR2,6 ; 01111_10_10    // Correct op1:2    //Correct op2:6 at line number38
SLL2,4 ; 01011_10_00    // Correct op1:2    //Correct op2:4 at line number39
SLL3,5 ; 01011_11_01    // Correct op1:3    //Correct op2:5 at line number40
XOR2,6 ; 01000_10_10    // Correct op1:2    //Correct op2:6 at line number42
SLR1,5 ; 01100_01_01    // Correct op1:1    //Correct op2:5 at line number46
SLR2,4 ; 01100_10_00    // Correct op1:2    //Correct op2:4 at line number49
SLL2,5 ; 01011_10_01    // Correct op1:2    //Correct op2:5 at line number50
XOR1,4 ; 01000_01_00    // Correct op1:1    //Correct op2:4 at line number52
SLR3,5 ; 01100_11_01    // Correct op1:3    //Correct op2:5 at line number53
SLL3,4 ; 01011_11_00    // Correct op1:3    //Correct op2:4 at line number55
XOR1,4 ; 01000_01_00    // Correct op1:1    //Correct op2:4 at line number57
LB0,5 ; 00011_00_01    // Correct op1:0    //Correct op2:5 at line number58
SLL2,5 ; 01011_10_01    // Correct op1:2    //Correct op2:5 at line number61
SLR2,4 ; 01100_10_00    // Correct op1:2    //Correct op2:4 at line number63
XOR1,4 ; 01000_01_00    // Correct op1:1    //Correct op2:4 at line number65
RXOR3,4 ; 01111_11_00    // Correct op1:3    //Correct op2:4 at line number67
SLL3,5 ; 01011_11_01    // Correct op1:3    //Correct op2:5 at line number69
XOR3,4 ; 01000_11_00    // Correct op1:3    //Correct op2:4 at line number71
XOR3,6 ; 01000_11_10    // Correct op1:3    //Correct op2:6 at line number72
SLR1,4 ; 01100_01_00    // Correct op1:1    //Correct op2:4 at line number76
SLR2,5 ; 01100_10_01    // Correct op1:2    //Correct op2:5 at line number79
SLL2,4 ; 01011_10_00    // Correct op1:2    //Correct op2:4 at line number80
XOR1,4 ; 01000_01_00    // Correct op1:1    //Correct op2:4 at line number82
SLL2,5 ; 01011_10_01    // Correct op1:2    //Correct op2:5 at line number85
SLR2,5 ; 01100_10_01    // Correct op1:2    //Correct op2:5 at line number87
SLL2,5 ; 01011_10_01    // Correct op1:2    //Correct op2:5 at line number89
XOR1,4 ; 01000_01_00    // Correct op1:1    //Correct op2:4 at line number91
SLL2,5 ; 01011_10_01    // Correct op1:2    //Correct op2:5 at line number94
SLR2,5 ; 01100_10_01    // Correct op1:2    //Correct op2:5 at line number96
SLL2,5 ; 01011_10_01    // Correct op1:2    //Correct op2:5 at line number98
XOR1,4 ; 01000_01_00    // Correct op1:1    //Correct op2:4 at line number100
SLR2,5 ; 01100_10_01    // Correct op1:2    //Correct op2:5 at line number103
SLL2,5 ; 01011_10_01    // Correct op1:2    //Correct op2:5 at line number105
XOR1,4 ; 01000_01_00    // Correct op1:1    //Correct op2:4 at line number107
SLL2,4 ; 01011_10_00    // Correct op1:2    //Correct op2:4 at line number110
SLR2,4 ; 01100_10_00    // Correct op1:2    //Correct op2:4 at line number112
SLL2,5 ; 01011_10_01    // Correct op1:2    //Correct op2:5 at line number114
XOR1,4 ; 01000_01_00    // Correct op1:1    //Correct op2:4 at line number116
SLL2,5 ; 01011_10_01    // Correct op1:2    //Correct op2:5 at line number118
SLR2,5 ; 01100_10_01    // Correct op1:2    //Correct op2:5 at line number120
SLL2,5 ; 01011_10_01    // Correct op1:2    //Correct op2:5 at line number122
XOR1,4 ; 01000_01_00    // Correct op1:1    //Correct op2:4 at line number124
RXOR3,4 ; 01111_11_00    // Correct op1:3    //Correct op2:4 at line number126
SLL3,5 ; 01011_11_01    // Correct op1:3    //Correct op2:5 at line number128
XOR3,6 ; 01000_11_10    // Correct op1:3    //Correct op2:6 at line number129
RXOR2,6 ; 01111_10_10    // Correct op1:2    //Correct op2:6 at line number131
RXOR3,7 ; 01111_11_11    // Correct op1:3    //Correct op2:7 at line number132
XOR2,4 ; 01000_10_00    // Correct op1:2    //Correct op2:4 at line number134
XOR2,6 ; 01000_10_10    // Correct op1:2    //Correct op2:6 at line number135
ADD0,5 ; 00000_00_01    // Correct op1:0    //Correct op2:5 at line number138
ADD0,5 ; 00000_00_01    // Correct op1:0    //Correct op2:5 at line number139
ADD0,5 ; 00000_00_01    // Correct op1:0    //Correct op2:5 at line number140
ADD0,5 ; 00000_00_01    // Correct op1:0    //Correct op2:5 at line number141
ADD0,5 ; 00000_00_01    // Correct op1:0    //Correct op2:5 at line number142
SB0,6 ; 00100_00_10    // Correct op1:0    //Correct op2:6 at line number143
SB0,7 ; 00100_00_11    // Correct op1:0    //Correct op2:7 at line number145
SUB0,5 ; 00001_00_01    // Correct op1:0    //Correct op2:5 at line number146
SUB0,5 ; 00001_00_01    // Correct op1:0    //Correct op2:5 at line number147
SUB0,5 ; 00001_00_01    // Correct op1:0    //Correct op2:5 at line number148
SUB0,5 ; 00001_00_01    // Correct op1:0    //Correct op2:5 at line number149
SUB0,5 ; 00001_00_01    // Correct op1:0    //Correct op2:5 at line number150
ADD2,4 ; 00000_10_00    // Correct op1:2    //Correct op2:4 at line number154
ADD2,4 ; 00000_10_00    // Correct op1:2    //Correct op2:4 at line number155
ADD2,4 ; 00000_10_00    // Correct op1:2    //Correct op2:4 at line number156
ADD2,4 ; 00000_10_00    // Correct op1:2    //Correct op2:4 at line number157
ADD2,4 ; 00000_10_00    // Correct op1:2    //Correct op2:4 at line number158
